S-10B
S-10B Kaldi 0 24.859 S:133, I:0, D:19
S-10B Google 0 43.575 S:101, I:0, D:44
S-10B Kaldi 1 23.509 S:218, I:0, D:15
S-10B Google 1 39.024 S:175, I:0, D:42
S-10B Kaldi 2 20.061 S:263, I:0, D:17
S-10B Google 2 29.305 S:234, I:0, D:43
S-10B Kaldi 3 20.946 S:234, I:0, D:14
S-10B Google 3 29.866 S:209, I:0, D:38
S-10B Kaldi 4 21.348 S:350, I:0, D:20
S-10B Google 4 31.991 S:304, I:0, D:55
S-10B Kaldi 5 17.04 S:370, I:0, D:5
S-10B Google 5 26.116 S:331, I:0, D:39
S-10B Kaldi 6 19.136 S:131, I:0, D:13
S-10B Google 6 30.488 S:114, I:0, D:24
S-10B Kaldi 7 23.629 S:181, I:0, D:18
S-10B Google 7 31.381 S:164, I:0, D:17
S-10B Kaldi 8 17.717 S:209, I:0, D:10
S-10B Google 8 28.906 S:182, I:0, D:27
S-21A
S-21A Kaldi 0 46.538 S:139, I:0, D:53
S-21A Google 0 66.794 S:87, I:0, D:104
S-21A Kaldi 1 39.56 S:165, I:0, D:42
S-21A Google 1 59.636 S:111, I:0, D:102
S-21A Kaldi 2 38.265 S:121, I:0, D:16
S-21A Google 2 63.131 S:73, I:0, D:79
S-21A Kaldi 3 37.528 S:278, I:0, D:73
S-21A Google 3 62.416 S:168, I:0, D:155
S-21A Kaldi 4 43.836 S:287, I:0, D:79
S-21A Google 4 62.378 S:193, I:0, D:177
S-21A Kaldi 5 41.971 S:159, I:0, D:54
S-21A Google 5 64.493 S:98, I:0, D:96
S-21A Kaldi 6 42.718 S:59, I:0, D:26
S-21A Google 6 62.857 S:39, I:0, D:45
S-21A Kaldi 7 33.333 S:24, I:0, D:4
S-21A Google 7 63.158 S:14, I:0, D:16
S-21A Kaldi 8 25.641 S:29, I:0, D:1
S-21A Google 8 48.78 S:21, I:0, D:13
S-21A Kaldi 9 50.0 S:21, I:0, D:11
S-21A Google 9 75.0 S:12, I:0, D:22
S-21A Kaldi 10 29.834 S:127, I:0, D:23
S-21A Google 10 50.273 S:91, I:0, D:55
S-21A Kaldi 11 47.753 S:93, I:0, D:46
S-21A Google 11 64.444 S:64, I:0, D:73
S-7C
S-7C Kaldi 0 22.372 S:517, I:0, D:31
S-7C Google 0 32.485 S:451, I:0, D:93
S-7C Kaldi 1 24.835 S:342, I:0, D:4
S-7C Google 1 38.512 S:281, I:0, D:55
S-7C Kaldi 2 22.388 S:416, I:0, D:8
S-7C Google 2 29.926 S:377, I:0, D:78
S-7C Kaldi 3 27.621 S:435, I:0, D:62
S-7C Google 3 41.294 S:354, I:0, D:128
S-7C Kaldi 4 25.522 S:321, I:0, D:28
S-7C Google 4 35.104 S:281, I:0, D:75
S-7C Kaldi 5 24.759 S:468, I:0, D:30
S-7C Google 5 36.859 S:394, I:0, D:120
S-19C
S-19C Kaldi 0 40.0 S:129, I:0, D:13
S-19C Google 0 56.221 S:95, I:0, D:60
S-19C Kaldi 1 52.128 S:45, I:0, D:18
S-19C Google 1 67.708 S:31, I:0, D:56
S-19C Kaldi 2 29.515 S:160, I:0, D:16
S-19C Google 2 47.598 S:120, I:0, D:55
S-19C Kaldi 3 46.721 S:65, I:0, D:17
S-19C Google 3 62.903 S:46, I:0, D:42
S-19C Kaldi 4 32.83 S:178, I:0, D:32
S-19C Google 4 53.184 S:125, I:0, D:69
S-19C Kaldi 5 46.25 S:86, I:0, D:18
S-19C Google 5 58.025 S:68, I:0, D:49
S-19C Kaldi 6 40.206 S:58, I:0, D:6
S-19C Google 6 47.475 S:52, I:0, D:25
S-19C Kaldi 7 37.5 S:40, I:0, D:0
S-19C Google 7 40.909 S:39, I:0, D:11
S-19C Kaldi 8 22.388 S:52, I:0, D:3
S-19C Google 8 33.333 S:46, I:0, D:13
S-19C Kaldi 9 44.304 S:44, I:0, D:15
S-19C Google 9 53.086 S:38, I:0, D:25
S-19C Kaldi 10 19.355 S:25, I:0, D:1
S-19C Google 10 48.485 S:17, I:0, D:11
S-19C Kaldi 11 59.016 S:25, I:0, D:9
S-19C Google 11 63.492 S:23, I:0, D:21
S-27C
S-27C Kaldi 0 22.137 S:306, I:0, D:24
S-27C Google 0 40.0 S:237, I:0, D:92
S-27C Kaldi 1 16.294 S:262, I:0, D:11
S-27C Google 1 30.159 S:220, I:0, D:60
S-27C Kaldi 2 15.85 S:292, I:0, D:9
S-27C Google 2 37.249 S:219, I:0, D:89
S-27C Kaldi 3 19.869 S:367, I:0, D:19
S-27C Google 3 36.522 S:292, I:0, D:103
S-27C Kaldi 4 16.069 S:538, I:0, D:34
S-27C Google 4 35.925 S:412, I:0, D:138
S-27C Kaldi 5 21.546 S:761, I:0, D:64
S-27C Google 5 33.436 S:647, I:0, D:185
S-27C Kaldi 6 22.368 S:118, I:0, D:15
S-27C Google 6 39.61 S:93, I:0, D:44
S-27C Kaldi 7 11.765 S:45, I:0, D:3
S-27C Google 7 30.189 S:37, I:0, D:12
S-27C Kaldi 8 29.474 S:67, I:0, D:4
S-27C Google 8 48.454 S:50, I:0, D:26
S-27C Kaldi 9 21.698 S:83, I:0, D:4
S-27C Google 9 36.111 S:69, I:0, D:25
S-27C Kaldi 10 32.558 S:29, I:0, D:6
S-27C Google 10 46.667 S:24, I:0, D:14
S-27C Kaldi 11 27.0 S:73, I:0, D:15
S-27C Google 11 47.059 S:54, I:0, D:33
S-23C
S-23C Kaldi 0 19.632 S:131, I:0, D:6
S-23C Google 0 32.727 S:111, I:0, D:28
S-23C Kaldi 1 32.512 S:137, I:0, D:16
S-23C Google 1 46.341 S:110, I:0, D:47
S-23C Kaldi 2 34.659 S:115, I:0, D:2
S-23C Google 2 43.258 S:101, I:0, D:24
S-23C Kaldi 3 41.667 S:126, I:0, D:19
S-23C Google 3 57.339 S:93, I:0, D:57
S-23C Kaldi 4 27.292 S:349, I:0, D:43
S-23C Google 4 45.851 S:261, I:0, D:128
S-23C Kaldi 5 22.337 S:226, I:0, D:22
S-23C Google 5 35.495 S:189, I:0, D:69
S-23C Kaldi 6 19.512 S:33, I:0, D:3
S-23C Google 6 39.535 S:26, I:0, D:14
S-23C Kaldi 7 17.143 S:58, I:0, D:2
S-23C Google 7 34.722 S:47, I:0, D:11
S-23C Kaldi 8 32.558 S:58, I:0, D:5
S-23C Google 8 39.773 S:53, I:0, D:18
S-23C Kaldi 9 30.435 S:18, I:2, D:0
S-23C Google 9 40.0 S:15, I:0, D:4
S-23C Kaldi 10 30.435 S:32, I:0, D:1
S-23C Google 10 66.667 S:16, I:0, D:19
S-23C Kaldi 11 22.449 S:114, I:0, D:11
S-23C Google 11 45.638 S:81, I:0, D:34
S-6B
S-6B Kaldi 0 43.262 S:80, I:0, D:11
S-6B Google 0 55.944 S:63, I:0, D:39
S-6B Kaldi 1 32.195 S:139, I:0, D:9
S-6B Google 1 43.961 S:116, I:0, D:43
S-6B Kaldi 2 15.385 S:242, I:0, D:15
S-6B Google 2 31.597 S:197, I:0, D:42
S-6B Kaldi 3 24.49 S:148, I:0, D:6
S-6B Google 3 41.919 S:115, I:0, D:41
S-6B Kaldi 4 17.84 S:350, I:0, D:9
S-6B Google 4 28.505 S:306, I:0, D:52
S-6B Kaldi 5 10.905 S:433, I:0, D:13
S-6B Google 5 28.074 S:351, I:0, D:63
S-5A
S-5A Kaldi 0 35.903 S:291, I:0, D:24
S-5A Google 0 53.728 S:211, I:0, D:139
S-5A Kaldi 1 30.172 S:162, I:0, D:18
S-5A Google 1 50.0 S:117, I:0, D:72
S-5A Kaldi 2 29.247 S:479, I:0, D:43
S-5A Google 2 44.33 S:378, I:0, D:153
S-5A Kaldi 3 24.138 S:264, I:0, D:22
S-5A Google 3 42.857 S:200, I:0, D:88
S-5A Kaldi 4 22.769 S:251, I:0, D:22
S-5A Google 4 41.896 S:190, I:0, D:84
S-5A Kaldi 5 28.921 S:349, I:0, D:44
S-5A Google 5 48.479 S:254, I:0, D:128
S-11C
S-11C Kaldi 0 16.923 S:162, I:0, D:4
S-11C Google 0 28.426 S:141, I:0, D:35
S-11C Kaldi 1 23.567 S:120, I:0, D:9
S-11C Google 1 42.767 S:91, I:0, D:51
S-11C Kaldi 2 18.28 S:304, I:0, D:16
S-11C Google 2 26.738 S:274, I:0, D:46
S-11C Kaldi 3 19.388 S:316, I:0, D:26
S-11C Google 3 27.157 S:287, I:0, D:70
S-11C Kaldi 4 10.175 S:512, I:0, D:21
S-11C Google 4 23.077 S:440, I:0, D:57
S-11C Kaldi 5 11.284 S:456, I:0, D:13
S-11C Google 5 22.674 S:399, I:0, D:56
S-11C Kaldi 6 20.096 S:167, I:0, D:8
S-11C Google 6 29.384 S:149, I:0, D:29
S-11C Kaldi 7 12.5 S:224, I:0, D:13
S-11C Google 7 26.744 S:189, I:0, D:31
S-11C Kaldi 8 18.447 S:85, I:1, D:0
S-11C Google 8 27.619 S:76, I:0, D:16
S-16D
S-16D Kaldi 0 22.801 S:237, I:0, D:5
S-16D Google 0 26.537 S:227, I:0, D:35
S-16D Kaldi 1 19.048 S:408, I:0, D:19
S-16D Google 1 22.332 S:393, I:0, D:67
S-16D Kaldi 2 23.986 S:225, I:0, D:8
S-16D Google 2 27.852 S:215, I:0, D:52
S-16D Kaldi 3 16.057 S:413, I:0, D:7
S-16D Google 3 21.66 S:387, I:0, D:59
S-16D Kaldi 4 18.159 S:329, I:0, D:18
S-16D Google 4 25.743 S:300, I:0, D:64
S-16D Kaldi 5 22.896 S:229, I:0, D:3
S-16D Google 5 25.084 S:224, I:0, D:46
S-16D Kaldi 6 34.746 S:77, I:0, D:1
S-16D Google 6 41.667 S:70, I:0, D:34
S-16D Kaldi 7 28.571 S:41, I:1, D:0
S-16D Google 7 34.483 S:38, I:0, D:12
S-16D Kaldi 8 18.182 S:108, I:0, D:6
S-16D Google 8 27.612 S:97, I:0, D:23
S-16D Kaldi 9 43.333 S:17, I:0, D:1
S-16D Google 9 50.0 S:16, I:0, D:14
S-16D Kaldi 10 25.0 S:30, I:0, D:0
S-16D Google 10 38.095 S:26, I:0, D:7
S-16D Kaldi 11 22.785 S:66, I:5, D:0
S-16D Google 11 24.691 S:61, I:0, D:16
S-16D Kaldi 12 24.444 S:36, I:2, D:0
S-16D Google 12 29.787 S:33, I:0, D:12
S-20D
S-20D Kaldi 0 39.3 S:156, I:0, D:26
S-20D Google 0 50.965 S:127, I:0, D:76
S-20D Kaldi 1 26.403 S:223, I:0, D:21
S-20D Google 1 40.656 S:181, I:0, D:51
S-20D Kaldi 2 31.25 S:209, I:0, D:23
S-20D Google 2 46.732 S:163, I:0, D:86
S-20D Kaldi 3 38.496 S:139, I:0, D:29
S-20D Google 3 42.105 S:132, I:0, D:47
S-20D Kaldi 4 28.237 S:521, I:0, D:23
S-20D Google 4 35.989 S:466, I:0, D:112
S-20D Kaldi 5 28.125 S:299, I:0, D:25
S-20D Google 5 40.191 S:250, I:0, D:92
S-20D Kaldi 6 76.471 S:8, I:0, D:4
S-20D Google 6 80.556 S:7, I:0, D:25
S-20D Kaldi 7 56.522 S:20, I:0, D:1
S-20D Google 7 72.917 S:13, I:0, D:18
S-20D Kaldi 8 35.0 S:13, I:0, D:3
S-20D Google 8 54.545 S:10, I:0, D:6
S-20D Kaldi 9 55.128 S:37, I:2, D:0
S-20D Google 9 48.75 S:41, I:0, D:14
