S-10B
S-10B Kaldi 0 0.249 S:133, I:0, D:19
S-10B Google 0 0.436 S:101, I:0, D:44
S-10B Kaldi 1 0.235 S:218, I:0, D:15
S-10B Google 1 0.39 S:175, I:0, D:42
S-10B Kaldi 2 0.201 S:263, I:0, D:17
S-10B Google 2 0.293 S:234, I:0, D:43
S-10B Kaldi 3 0.209 S:234, I:0, D:14
S-10B Google 3 0.299 S:209, I:0, D:38
S-10B Kaldi 4 0.213 S:350, I:0, D:20
S-10B Google 4 0.32 S:304, I:0, D:55
S-10B Kaldi 5 0.17 S:370, I:0, D:5
S-10B Google 5 0.261 S:331, I:0, D:39
S-10B Kaldi 6 0.191 S:131, I:0, D:13
S-10B Google 6 0.305 S:114, I:0, D:24
S-10B Kaldi 7 0.236 S:181, I:0, D:18
S-10B Google 7 0.314 S:164, I:0, D:17
S-10B Kaldi 8 0.177 S:209, I:0, D:10
S-10B Google 8 0.289 S:182, I:0, D:27
S-21A
S-21A Kaldi 0 0.465 S:139, I:0, D:53
S-21A Google 0 0.668 S:87, I:0, D:104
S-21A Kaldi 1 0.396 S:165, I:0, D:42
S-21A Google 1 0.596 S:111, I:0, D:102
S-21A Kaldi 2 0.383 S:121, I:0, D:16
S-21A Google 2 0.631 S:73, I:0, D:79
S-21A Kaldi 3 0.375 S:278, I:0, D:73
S-21A Google 3 0.624 S:168, I:0, D:155
S-21A Kaldi 4 0.438 S:287, I:0, D:79
S-21A Google 4 0.624 S:193, I:0, D:177
S-21A Kaldi 5 0.42 S:159, I:0, D:54
S-21A Google 5 0.645 S:98, I:0, D:96
S-21A Kaldi 6 0.427 S:59, I:0, D:26
S-21A Google 6 0.629 S:39, I:0, D:45
S-21A Kaldi 7 0.333 S:24, I:0, D:4
S-21A Google 7 0.632 S:14, I:0, D:16
S-21A Kaldi 8 0.256 S:29, I:0, D:1
S-21A Google 8 0.488 S:21, I:0, D:13
S-21A Kaldi 9 0.5 S:21, I:0, D:11
S-21A Google 9 0.75 S:12, I:0, D:22
S-21A Kaldi 10 0.298 S:127, I:0, D:23
S-21A Google 10 0.503 S:91, I:0, D:55
S-21A Kaldi 11 0.478 S:93, I:0, D:46
S-21A Google 11 0.644 S:64, I:0, D:73
S-7C
S-7C Kaldi 0 0.224 S:517, I:0, D:31
S-7C Google 0 0.325 S:451, I:0, D:93
S-7C Kaldi 1 0.248 S:342, I:0, D:4
S-7C Google 1 0.385 S:281, I:0, D:55
S-7C Kaldi 2 0.224 S:416, I:0, D:8
S-7C Google 2 0.299 S:377, I:0, D:78
S-7C Kaldi 3 0.276 S:435, I:0, D:62
S-7C Google 3 0.413 S:354, I:0, D:128
S-7C Kaldi 4 0.255 S:321, I:0, D:28
S-7C Google 4 0.351 S:281, I:0, D:75
S-7C Kaldi 5 0.248 S:468, I:0, D:30
S-7C Google 5 0.369 S:394, I:0, D:120
S-19C
S-19C Kaldi 0 0.4 S:129, I:0, D:13
S-19C Google 0 0.562 S:95, I:0, D:60
S-19C Kaldi 1 0.521 S:45, I:0, D:18
S-19C Google 1 0.677 S:31, I:0, D:56
S-19C Kaldi 2 0.295 S:160, I:0, D:16
S-19C Google 2 0.476 S:120, I:0, D:55
S-19C Kaldi 3 0.467 S:65, I:0, D:17
S-19C Google 3 0.629 S:46, I:0, D:42
S-19C Kaldi 4 0.328 S:178, I:0, D:32
S-19C Google 4 0.532 S:125, I:0, D:69
S-19C Kaldi 5 0.462 S:86, I:0, D:18
S-19C Google 5 0.58 S:68, I:0, D:49
S-19C Kaldi 6 0.402 S:58, I:0, D:6
S-19C Google 6 0.475 S:52, I:0, D:25
S-19C Kaldi 7 0.375 S:40, I:0, D:0
S-19C Google 7 0.409 S:39, I:0, D:11
